




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	H2AFZ.parathyroid_adenoma.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H2AFZ.parathyroid_adenoma.intersect_with_DeepZ.genes_uniq.txt (4581)	H2AFZ.parathyroid_adenoma.intersect_with_DeepZ.genes_uniq.txt (expected)	H2AFZ.parathyroid_adenoma.intersect_with_DeepZ.genes_uniq.txt (over/under)	H2AFZ.parathyroid_adenoma.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H2AFZ.parathyroid_adenoma.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H2AFZ.parathyroid_adenoma.intersect_with_DeepZ.genes_uniq.txt (FDR)
positive regulation of programmed cell death (GO:0043068)	524	159	116.55	+	1.36	7.37E-04	2.94E-02
organic substance metabolic process (GO:0071704)	7404	2246	1646.89	+	1.36	9.64E-60	2.53E-56
positive regulation of cell death (GO:0010942)	587	178	130.57	+	1.36	3.49E-04	1.57E-02
negative regulation of biosynthetic process (GO:0009890)	1649	500	366.79	+	1.36	6.37E-10	7.37E-08
negative regulation of cellular biosynthetic process (GO:0031327)	1616	489	359.45	+	1.36	1.35E-09	1.46E-07
macromolecule localization (GO:0033036)	2308	698	513.37	+	1.36	1.40E-13	2.56E-11
metabolic process (GO:0008152)	7882	2377	1753.21	+	1.36	1.38E-63	4.35E-60
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1538	463	342.10	+	1.35	6.31E-09	6.36E-07
organelle assembly (GO:0070925)	738	222	164.16	+	1.35	8.52E-05	4.48E-03
cellular component assembly (GO:0022607)	2251	677	500.70	+	1.35	8.80E-13	1.46E-10
negative regulation of RNA metabolic process (GO:0051253)	1433	430	318.75	+	1.35	3.18E-08	2.86E-06
regulation of organelle organization (GO:0033043)	1189	355	264.47	+	1.34	9.13E-07	7.55E-05
cell death (GO:0008219)	978	292	217.54	+	1.34	1.03E-05	6.77E-04
apoptotic process (GO:0006915)	905	270	201.30	+	1.34	2.36E-05	1.46E-03
cellular localization (GO:0051641)	2264	675	503.59	+	1.34	3.51E-12	5.26E-10
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1902	566	423.07	+	1.34	4.19E-10	4.99E-08
organic substance catabolic process (GO:1901575)	1587	472	353.00	+	1.34	1.67E-08	1.54E-06
programmed cell death (GO:0012501)	942	279	209.53	+	1.33	2.79E-05	1.69E-03
organonitrogen compound metabolic process (GO:1901564)	4787	1414	1064.78	+	1.33	2.43E-26	1.23E-23
positive regulation of RNA metabolic process (GO:0051254)	1737	512	386.37	+	1.33	9.67E-09	9.39E-07
negative regulation of nucleic acid-templated transcription (GO:1903507)	1324	390	294.50	+	1.32	7.96E-07	6.62E-05
positive regulation of macromolecule biosynthetic process (GO:0010557)	1847	544	410.83	+	1.32	3.31E-09	3.37E-07
catabolic process (GO:0009056)	1882	554	418.62	+	1.32	2.67E-09	2.80E-07
negative regulation of transcription, DNA-templated (GO:0045892)	1322	389	294.06	+	1.32	9.20E-07	7.57E-05
negative regulation of RNA biosynthetic process (GO:1902679)	1326	390	294.95	+	1.32	9.49E-07	7.77E-05
negative regulation of transcription by RNA polymerase II (GO:0000122)	932	272	207.31	+	1.31	7.88E-05	4.19E-03
positive regulation of cellular biosynthetic process (GO:0031328)	1949	567	433.52	+	1.31	6.30E-09	6.39E-07
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3906	1136	868.82	+	1.31	2.55E-18	7.02E-16
cellular component organization or biogenesis (GO:0071840)	5496	1598	1222.49	+	1.31	5.34E-28	2.80E-25
regulation of macromolecule biosynthetic process (GO:0010556)	3935	1143	875.27	+	1.31	2.61E-18	7.08E-16
proteolysis (GO:0006508)	1216	353	270.48	+	1.31	9.29E-06	6.24E-04
negative regulation of gene expression (GO:0010629)	879	255	195.52	+	1.30	1.80E-04	8.77E-03
negative regulation of cellular component organization (GO:0051129)	722	209	160.60	+	1.30	8.46E-04	3.28E-02
positive regulation of cellular metabolic process (GO:0031325)	3186	921	708.67	+	1.30	6.11E-14	1.17E-11
positive regulation of biosynthetic process (GO:0009891)	1985	573	441.53	+	1.30	1.31E-08	1.22E-06
regulation of transferase activity (GO:0051338)	873	252	194.18	+	1.30	2.71E-04	1.25E-02
regulation of cellular biosynthetic process (GO:0031326)	4088	1179	909.30	+	1.30	3.67E-18	9.46E-16
regulation of nucleobase-containing compound metabolic process (GO:0019219)	3931	1131	874.38	+	1.29	4.93E-17	1.19E-14
regulation of biosynthetic process (GO:0009889)	4152	1192	923.54	+	1.29	7.80E-18	1.95E-15
positive regulation of nitrogen compound metabolic process (GO:0051173)	2992	857	665.52	+	1.29	3.53E-12	5.23E-10
negative regulation of cellular metabolic process (GO:0031324)	2546	729	566.31	+	1.29	2.60E-10	3.21E-08
regulation of protein metabolic process (GO:0051246)	2492	713	554.30	+	1.29	5.35E-10	6.23E-08
regulation of cellular protein metabolic process (GO:0032268)	2328	665	517.82	+	1.28	2.88E-09	2.99E-07
regulation of RNA metabolic process (GO:0051252)	3698	1054	822.56	+	1.28	8.91E-15	1.84E-12
organic substance transport (GO:0071702)	1927	547	428.63	+	1.28	2.08E-07	1.76E-05
phosphorylation (GO:0016310)	874	248	194.41	+	1.28	6.59E-04	2.66E-02
positive regulation of nucleic acid-templated transcription (GO:1903508)	1611	456	358.34	+	1.27	3.37E-06	2.44E-04
positive regulation of transcription, DNA-templated (GO:0045893)	1611	456	358.34	+	1.27	3.37E-06	2.43E-04
cellular component organization (GO:0016043)	5298	1499	1178.45	+	1.27	2.31E-21	8.26E-19
negative regulation of nitrogen compound metabolic process (GO:0051172)	2380	673	529.39	+	1.27	8.37E-09	8.28E-07
positive regulation of RNA biosynthetic process (GO:1902680)	1613	456	358.78	+	1.27	3.92E-06	2.78E-04
regulation of cellular metabolic process (GO:0031323)	5928	1669	1318.58	+	1.27	7.64E-24	3.43E-21
regulation of nitrogen compound metabolic process (GO:0051171)	5537	1552	1231.61	+	1.26	6.38E-21	2.18E-18
regulation of primary metabolic process (GO:0080090)	5707	1595	1269.42	+	1.26	3.54E-21	1.24E-18
positive regulation of transcription by RNA polymerase II (GO:0045944)	1185	329	263.58	+	1.25	3.06E-04	1.39E-02
positive regulation of metabolic process (GO:0009893)	3675	1020	817.44	+	1.25	8.92E-12	1.29E-09
negative regulation of metabolic process (GO:0009892)	2952	818	656.62	+	1.25	2.95E-09	3.05E-07
positive regulation of macromolecule metabolic process (GO:0010604)	3382	937	752.27	+	1.25	1.36E-10	1.77E-08
regulation of protein modification process (GO:0031399)	1483	410	329.87	+	1.24	7.23E-05	3.88E-03
regulation of transcription by RNA polymerase II (GO:0006357)	2538	700	564.53	+	1.24	1.16E-07	1.01E-05
regulation of nucleic acid-templated transcription (GO:1903506)	3416	941	759.83	+	1.24	3.20E-10	3.90E-08
regulation of transcription, DNA-templated (GO:0006355)	3415	940	759.61	+	1.24	3.66E-10	4.43E-08
negative regulation of macromolecule metabolic process (GO:0010605)	2737	753	608.80	+	1.24	4.61E-08	4.10E-06
regulation of RNA biosynthetic process (GO:2001141)	3421	941	760.94	+	1.24	4.29E-10	5.07E-08
positive regulation of protein metabolic process (GO:0051247)	1455	400	323.64	+	1.24	1.35E-04	6.78E-03
positive regulation of cellular protein metabolic process (GO:0032270)	1366	371	303.84	+	1.22	4.97E-04	2.11E-02
regulation of apoptotic process (GO:0042981)	1426	387	317.19	+	1.22	3.98E-04	1.76E-02
regulation of cellular component organization (GO:0051128)	2359	640	524.72	+	1.22	3.03E-06	2.23E-04
regulation of gene expression (GO:0010468)	4749	1288	1056.33	+	1.22	9.16E-13	1.50E-10
regulation of metabolic process (GO:0019222)	6586	1786	1464.94	+	1.22	2.09E-19	6.09E-17
regulation of macromolecule metabolic process (GO:0060255)	6083	1648	1353.06	+	1.22	3.24E-17	7.95E-15
regulation of programmed cell death (GO:0043067)	1456	394	323.86	+	1.22	4.02E-04	1.77E-02
regulation of cell death (GO:0010941)	1593	427	354.34	+	1.21	4.32E-04	1.88E-02
phosphate-containing compound metabolic process (GO:0006796)	1758	466	391.04	+	1.19	4.95E-04	2.11E-02
phosphorus metabolic process (GO:0006793)	1779	470	395.71	+	1.19	5.88E-04	2.44E-02
positive regulation of cellular process (GO:0048522)	5580	1423	1241.17	+	1.15	7.49E-08	6.61E-06
negative regulation of cellular process (GO:0048523)	4785	1220	1064.34	+	1.15	1.36E-06	1.08E-04
negative regulation of biological process (GO:0048519)	5187	1311	1153.76	+	1.14	1.93E-06	1.48E-04
establishment of localization (GO:0051234)	3911	983	869.93	+	1.13	1.58E-04	7.78E-03
positive regulation of biological process (GO:0048518)	6062	1513	1348.39	+	1.12	1.97E-06	1.50E-04
transport (GO:0006810)	3752	931	834.57	+	1.12	1.06E-03	3.95E-02
cellular process (GO:0009987)	15074	3725	3352.95	+	1.11	1.11E-31	6.73E-29
biological_process (GO:0008150)	17698	4180	3936.61	+	1.06	1.08E-23	4.73E-21
response to stimulus (GO:0050896)	8039	1613	1788.14	-	.90	1.42E-06	1.12E-04
multicellular organismal process (GO:0032501)	6584	1318	1464.50	-	.90	2.39E-05	1.48E-03
cell communication (GO:0007154)	5167	965	1149.31	-	.84	7.11E-09	7.11E-07
signal transduction (GO:0007165)	4727	876	1051.44	-	.83	1.21E-08	1.15E-06
signaling (GO:0023052)	5064	933	1126.40	-	.83	8.28E-10	9.29E-08
regulation of immune system process (GO:0002682)	1418	254	315.41	-	.81	9.14E-04	3.49E-02
response to external stimulus (GO:0009605)	2406	427	535.17	-	.80	3.24E-06	2.36E-04
ion transport (GO:0006811)	1173	204	260.91	-	.78	7.25E-04	2.90E-02
ion transmembrane transport (GO:0034220)	854	142	189.96	-	.75	7.95E-04	3.13E-02
biological process involved in interspecies interaction between organisms (GO:0044419)	1519	250	337.88	-	.74	2.56E-06	1.91E-04
immune system process (GO:0002376)	2370	383	527.17	-	.73	2.26E-10	2.84E-08
regulation of cell activation (GO:0050865)	663	106	147.47	-	.72	1.04E-03	3.91E-02
metal ion transport (GO:0030001)	613	96	136.35	-	.70	9.20E-04	3.50E-02
regulation of immune response (GO:0050776)	905	141	201.30	-	.70	3.45E-05	2.05E-03
regulation of ion transport (GO:0043269)	685	104	152.37	-	.68	1.42E-04	7.06E-03
response to biotic stimulus (GO:0009607)	1418	215	315.41	-	.68	1.94E-08	1.78E-06
cell adhesion (GO:0007155)	952	144	211.76	-	.68	4.82E-06	3.38E-04
positive regulation of immune system process (GO:0002684)	898	135	199.74	-	.68	6.88E-06	4.76E-04
biological adhesion (GO:0022610)	958	144	213.09	-	.68	3.45E-06	2.47E-04
response to other organism (GO:0051707)	1372	205	305.18	-	.67	1.13E-08	1.08E-06
response to external biotic stimulus (GO:0043207)	1373	205	305.40	-	.67	1.14E-08	1.08E-06
regulation of metal ion transport (GO:0010959)	394	56	87.64	-	.64	1.06E-03	3.94E-02
Unclassified (UNCLASSIFIED)	2897	401	644.39	-	.62	1.08E-23	4.61E-21
positive regulation of leukocyte activation (GO:0002696)	426	58	94.76	-	.61	2.17E-04	1.04E-02
positive regulation of cell activation (GO:0050867)	437	59	97.20	-	.61	1.60E-04	7.85E-03
system process (GO:0003008)	2040	274	453.76	-	.60	3.80E-18	9.62E-16
inflammatory response (GO:0006954)	502	67	111.66	-	.60	2.82E-05	1.71E-03
positive regulation of immune response (GO:0050778)	563	75	125.23	-	.60	9.26E-06	6.25E-04
regulation of immune effector process (GO:0002697)	339	45	75.40	-	.60	6.47E-04	2.62E-02
defense response (GO:0006952)	1387	184	308.51	-	.60	6.61E-13	1.11E-10
positive regulation of lymphocyte activation (GO:0051251)	381	50	84.75	-	.59	1.96E-04	9.43E-03
innate immune response (GO:0045087)	783	101	174.16	-	.58	2.57E-08	2.34E-06
defense response to other organism (GO:0098542)	989	127	219.99	-	.58	2.36E-10	2.95E-08
cell-cell adhesion (GO:0098609)	515	66	114.55	-	.58	5.93E-06	4.13E-04
nervous system process (GO:0050877)	1418	179	315.41	-	.57	3.39E-15	7.62E-13
immune effector process (GO:0002252)	435	53	96.76	-	.55	8.21E-06	5.63E-04
activation of immune response (GO:0002253)	338	41	75.18	-	.55	9.28E-05	4.85E-03
immune response-regulating signaling pathway (GO:0002764)	363	44	80.74	-	.54	5.43E-05	3.05E-03
leukocyte migration (GO:0050900)	229	27	50.94	-	.53	1.06E-03	3.94E-02
immune response (GO:0006955)	1678	193	373.24	-	.52	1.96E-22	7.15E-20
response to bacterium (GO:0009617)	722	83	160.60	-	.52	3.99E-10	4.79E-08
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	290	33	64.51	-	.51	8.27E-05	4.36E-03
cell recognition (GO:0008037)	228	25	50.71	-	.49	2.94E-04	1.35E-02
antigen receptor-mediated signaling pathway (GO:0050851)	216	23	48.05	-	.48	2.74E-04	1.27E-02
leukocyte mediated immunity (GO:0002443)	282	30	62.73	-	.48	3.15E-05	1.88E-03
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	245	26	54.50	-	.48	9.65E-05	4.99E-03
positive regulation of B cell activation (GO:0050871)	171	18	38.04	-	.47	1.21E-03	4.38E-02
immune response-activating cell surface receptor signaling pathway (GO:0002429)	263	27	58.50	-	.46	3.13E-05	1.89E-03
immune response-activating signal transduction (GO:0002757)	263	27	58.50	-	.46	3.13E-05	1.88E-03
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	223	22	49.60	-	.44	8.04E-05	4.25E-03
lymphocyte mediated immunity (GO:0002449)	235	23	52.27	-	.44	4.33E-05	2.50E-03
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	22	57.39	-	.38	1.09E-06	8.83E-05
sensory perception (GO:0007600)	978	83	217.54	-	.38	1.34E-22	5.14E-20
immunoglobulin mediated immune response (GO:0016064)	179	15	39.82	-	.38	4.97E-05	2.84E-03
leukocyte chemotaxis (GO:0030595)	145	12	32.25	-	.37	2.47E-04	1.16E-02
B cell mediated immunity (GO:0019724)	183	15	40.71	-	.37	2.70E-05	1.64E-03
detection of abiotic stimulus (GO:0009582)	137	11	30.47	-	.36	2.53E-04	1.18E-02
immunoglobulin production (GO:0002377)	155	12	34.48	-	.35	7.21E-05	3.88E-03
production of molecular mediator of immune response (GO:0002440)	158	12	35.14	-	.34	5.35E-05	3.01E-03
detection of external stimulus (GO:0009581)	135	10	30.03	-	.33	1.35E-04	6.79E-03
granulocyte migration (GO:0097530)	96	7	21.35	-	.33	1.28E-03	4.55E-02
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	102	7	22.69	-	.31	6.68E-04	2.69E-02
G protein-coupled receptor signaling pathway (GO:0007186)	1216	83	270.48	-	.31	1.41E-36	1.05E-33
phagocytosis, engulfment (GO:0006911)	132	9	29.36	-	.31	6.90E-05	3.77E-03
neuropeptide signaling pathway (GO:0007218)	109	7	24.25	-	.29	2.44E-04	1.15E-02
adaptive immune response (GO:0002250)	640	41	142.36	-	.29	8.02E-21	2.63E-18
humoral immune response (GO:0006959)	337	21	74.96	-	.28	1.05E-11	1.50E-09
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	167	10	37.15	-	.27	1.83E-06	1.42E-04
killing of cells of other organism (GO:0031640)	86	5	19.13	-	.26	5.95E-04	2.47E-02
defense response to bacterium (GO:0042742)	350	20	77.85	-	.26	4.25E-13	7.42E-11
neutrophil migration (GO:1990266)	88	5	19.57	-	.26	6.16E-04	2.52E-02
antimicrobial humoral response (GO:0019730)	141	8	31.36	-	.26	5.89E-06	4.11E-04
B cell receptor signaling pathway (GO:0050853)	130	7	28.92	-	.24	1.06E-05	6.95E-04
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	100	5	22.24	-	.22	6.92E-05	3.76E-03
regulation of leukocyte mediated cytotoxicity (GO:0001910)	82	4	18.24	-	.22	3.70E-04	1.66E-02
granulocyte chemotaxis (GO:0071621)	83	4	18.46	-	.22	3.85E-04	1.72E-02
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	128	6	28.47	-	.21	4.54E-06	3.20E-04
defense response to Gram-negative bacterium (GO:0050829)	92	4	20.46	-	.20	8.62E-05	4.52E-03
complement activation, classical pathway (GO:0006958)	124	5	27.58	-	.18	1.67E-06	1.30E-04
neutrophil chemotaxis (GO:0030593)	78	3	17.35	-	.17	1.42E-04	7.05E-03
detection of stimulus (GO:0051606)	694	25	154.37	-	.16	3.92E-34	2.57E-31
complement activation (GO:0006956)	139	5	30.92	-	.16	1.76E-07	1.51E-05
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	67	2	14.90	-	.13	2.32E-04	1.10E-02
extracellular matrix disassembly (GO:0022617)	47	1	10.45	-	.10	1.18E-03	4.28E-02
lymphocyte chemotaxis (GO:0048247)	50	1	11.12	-	.09	7.86E-04	3.10E-02
phagocytosis, recognition (GO:0006910)	107	2	23.80	-	.08	1.47E-07	1.27E-05
sensory perception of chemical stimulus (GO:0007606)	542	9	120.56	-	.07	9.49E-36	6.49E-33
detection of stimulus involved in sensory perception (GO:0050906)	558	8	124.12	-	.06	3.69E-38	3.22E-35
detection of chemical stimulus (GO:0009593)	524	7	116.55	-	.06	1.68E-36	1.20E-33
sensory perception of smell (GO:0007608)	468	2	104.10	-	.02	4.21E-38	3.49E-35
detection of chemical stimulus involved in sensory perception (GO:0050907)	488	2	108.55	-	.02	7.71E-40	7.58E-37
serotonin receptor signaling pathway (GO:0007210)	39	0	8.67	-	 < 0.01	6.10E-04	2.50E-02
sensory perception of bitter taste (GO:0050913)	41	0	9.12	-	 < 0.01	3.91E-04	1.73E-02
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	443	0	98.54	-	 < 0.01	1.29E-39	1.20E-36
